ID,degree,in_degree,out_degree,betweenness,eigenvector,date
9512380,4,3,1,4.513555747141569e-05,6.501142554201573e-05,1995-12-15
9503492,131,114,17,0.0004591246392904549,0.00016254832690003042,1995-04-01
12308,1,0,1,0.0,8.211974124807393e-20,2000-12-22
9908520,32,14,18,0.00013671285652114686,6.500995355792976e-05,1999-08-31
9910236,1,0,1,0.0,8.211974124807393e-20,1999-10-05
9908395,100,39,61,0.0004708715019584243,3.6337360234350806e-10,1999-08-18
9711261,1,0,1,0.0,8.211974124807393e-20,1997-11-07
106315,1,0,1,0.0,8.211974124807393e-20,2001-06-28
9807423,134,116,18,0.00031581930217590827,3.250497681815725e-05,1998-07-20
9509316,1,0,1,0.0,8.211974124807393e-20,1995-09-18
9406430,67,52,15,0.00014024353418501352,3.1395452847748903e-13,1994-06-30
109097,40,15,25,3.645003487539337e-05,5.304935284625612e-17,2001-09-12
9901427,46,3,43,3.7810836177408055e-05,1.0675566362249613e-17,1999-01-27
9602234,2,1,1,1.231201178013287e-06,7.7767394961926e-17,1996-02-06
3058,2,0,2,0.0,8.211974124807393e-20,2000-03-07
9811265,52,37,15,0.00014175013562652979,1.2776827413764864e-12,1998-11-06
9905340,20,8,12,2.021761934421819e-05,2.833131073058542e-17,1999-05-14
9904210,2,1,1,0.0,4.485380266969801e-16,1999-04-01
9904279,1,0,1,0.0,8.211974124807393e-20,1999-04-08
9902364,1,0,1,0.0,8.211974124807393e-20,1999-02-16
9212278,3,3,0,0.0,9.035344918360012e-12,1992-12-17
9310320,2,2,0,0.0,8.637702243696351e-12,1993-10-20
9403338,3,3,0,0.0,8.638373161982348e-12,1994-03-22
9505402,1,1,0,0.0,8.637253787789394e-12,1995-05-29
9601243,2,2,0,0.0,8.637702243696351e-12,1996-01-11
9607250,1,1,0,0.0,8.637253787789394e-12,1996-07-05
9706212,1,1,0,0.0,8.637253787789394e-12,1997-06-02
9706428,1,1,0,0.0,8.637253787789394e-12,1997-06-20
9712381,1,1,0,0.0,8.637253787789394e-12,1997-12-15
9806387,3,3,0,0.0,8.722414505175627e-12,1998-06-16
9807235,2,2,0,0.0,8.637702243696351e-12,1998-07-03
9807310,2,2,0,0.0,8.637702243696351e-12,1998-07-09
9807315,1,1,0,0.0,8.637253787789394e-12,1998-07-09
9808333,2,2,0,0.0,8.637702243696351e-12,1998-08-14
9808355,2,2,0,0.0,8.637702243696351e-12,1998-08-18
9812475,2,1,1,0.0,4.485380266969801e-16,1998-12-22
9806376,1,0,1,0.0,8.211974124807393e-20,1998-06-16
9802287,50,31,19,0.0001232497179253301,9.566949855400645e-14,1998-02-10
9806294,1,0,1,0.0,8.211974124807393e-20,1998-06-07
9710273,15,4,11,4.276804092046155e-06,1.4206715235916795e-17,1997-10-07
9902283,2,1,1,0.0,4.485380266969801e-16,1999-02-09
9808205,1,0,1,0.0,8.211974124807393e-20,1998-08-03
9803415,1,0,1,0.0,8.211974124807393e-20,1998-03-21
9808270,1,0,1,0.0,8.211974124807393e-20,1998-08-09
9901243,2,1,1,0.0,4.485380266969801e-16,1999-01-07
112089,1,0,1,0.0,8.211974124807393e-20,2000-02-03
112089,1,0,1,0.0,8.211974124807393e-20,2000-02-25
112089,1,0,1,0.0,8.211974124807393e-20,2000-02-10
112089,1,0,1,0.0,8.211974124807393e-20,2001-12-06
111392,23,5,18,2.0995220088226582e-05,9.189199045659477e-17,2001-11-29
4173,2,1,1,4.86000465005245e-06,7.7767394961926e-17,2000-04-18
9902482,58,34,24,8.339767979490003e-05,1.207735034535422e-15,1999-02-26
7319,1,0,1,0.0,8.211974124807393e-20,2000-07-27
9912264,1,0,1,0.0,8.211974124807393e-20,1999-12-07
9905520,2,0,2,0.0,8.211974124807393e-20,1999-05-27
9902315,36,17,19,5.452925217358848e-05,6.011165059359058e-17,1999-02-11
9809423,2,1,1,3.061802929533043e-06,1.387823627092449e-15,1998-09-17
9811239,2,1,1,3.061802929533043e-06,1.387823627092449e-15,1998-11-04
6346,1,0,1,0.0,8.211974124807393e-20,2000-06-29
101168,1,0,1,0.0,8.211974124807393e-20,2001-01-16
10234,20,7,13,8.748008370094409e-06,2.8893315319108397e-06,2000-10-20
2209,1,0,1,0.0,8.211974124807393e-20,2000-02-18
9902419,49,11,38,4.062963887443848e-05,3.892475735158702e-17,1999-02-22
1104,1,0,1,0.0,8.211974124807393e-20,2000-01-12
9906513,2,1,1,0.0,2.2607564765594756e-16,1999-06-25
9905487,56,44,12,5.287685059257065e-05,2.889331531902294e-05,1999-05-26
9906523,1,0,1,0.0,8.211974124807393e-20,1999-06-28
9604412,1,0,1,0.0,8.211974124807393e-20,1996-04-26
9910506,1,0,1,0.0,8.211974124807393e-20,1999-10-27
9609463,1,0,1,0.0,8.211974124807393e-20,1996-09-25
9512229,70,17,53,0.0002230418134064071,1.7511049384256772e-14,1995-12-04
9812472,1,0,1,0.0,8.211974124807393e-20,1998-12-22
9210242,3,3,0,0.0,3.250496125392031e-05,1992-10-16
9212305,2,2,0,0.0,3.250496125369431e-05,1992-12-22
